UVIC Course Description,Subject,Course Number,Course Name
ATWP101 - Fundamentals of Academic Literacy,ATWP,101,Fundamentals of Academic Literacy
ATWP110 - Academic Reading and Writing Support and Development,ATWP,110,Academic Reading and Writing Support and Development
ATWP135 - Academic Reading and Writing,ATWP,135,Academic Reading and Writing
ATWP250 - Genres of Business Communication,ATWP,250,Genres of Business Communication
ATWP305 - The Rhetoric of Health and Medicine,ATWP,305,The Rhetoric of Health and Medicine
AGEI472 - Healthy Ageing,AGEI,472,Healthy Ageing
AGEI473 - Chronic Disease and Ageing,AGEI,473,Chronic Disease and Ageing
ASL100A - American Sign Language I,ASL,100A,American Sign Language I
ASL100B - American Sign Language II,ASL,100B,American Sign Language II
ASL200A - American Sign Language III,ASL,200A,American Sign Language III
ASL200B - American Sign Language IV,ASL,200B,American Sign Language IV
ASL300A - American Sign Language V,ASL,300A,American Sign Language V
ASL300B - American Sign Language VI,ASL,300B,American Sign Language VI
ANTH100 - Introduction to Anthropology,ANTH,100,Introduction to Anthropology
ANTH150 - Exploring Anthropology,ANTH,150,Exploring Anthropology
ANTH200 - Cultural and Social Anthropology,ANTH,200,Cultural and Social Anthropology
"ANTH201 - Indigenous Peoples, Colonization and Anthropology",ANTH,201,"Indigenous Peoples, Colonization and Anthropology"
ANTH210 - Visual Anthropology: A Global Perspective,ANTH,210,Visual Anthropology: A Global Perspective
ANTH215 - Money and Culture,ANTH,215,Money and Culture
ANTH240 - Archaeology,ANTH,240,Archaeology
ANTH241 - Archaeology of Animals,ANTH,241,Archaeology of Animals
ANTH250 - Biological Anthropology,ANTH,250,Biological Anthropology
ANTH251 - Human Evolutionary Biology,ANTH,251,Human Evolutionary Biology
"ANTH252 - Primates, People and Society",ANTH,252,"Primates, People and Society"
ANTH260 - Introduction to Anthropological Research,ANTH,260,Introduction to Anthropological Research
ANTH292 - Exploring Archaeology,ANTH,292,Exploring Archaeology
ANTH293 - Exploring Cultural and Social Anthropology,ANTH,293,Exploring Cultural and Social Anthropology
ANTH294 - Exploring Biological Anthropology,ANTH,294,Exploring Biological Anthropology
"ANTH302 - Globalization, Health, and the Environment",ANTH,302,"Globalization, Health, and the Environment"
ANTH303 - Anthropology of Sound,ANTH,303,Anthropology of Sound
ANTH304 - Technology and Culture,ANTH,304,Technology and Culture
ANTH305 - Anthropology of the Arts,ANTH,305,Anthropology of the Arts
ANTH306 - Indigenous Storytelling Traditions,ANTH,306,Indigenous Storytelling Traditions
ANTH307 - Anthropology of Children and Youth,ANTH,307,Anthropology of Children and Youth
ANTH309 - Anthropology of Film and Video,ANTH,309,Anthropology of Film and Video
ANTH311 - Introduction to Engaged and Practicing Anthropology,ANTH,311,Introduction to Engaged and Practicing Anthropology
ANTH312 - Introduction to Medical Anthropology,ANTH,312,Introduction to Medical Anthropology
ANTH314 - Economic Anthropology,ANTH,314,Economic Anthropology
ANTH317 - Quantitative Methods in Anthropological Research,ANTH,317,Quantitative Methods in Anthropological Research
ANTH318 - Ethnographic Research Methods,ANTH,318,Ethnographic Research Methods
ANTH319 - Research Methods in Archaeology and Biological Anthropology,ANTH,319,Research Methods in Archaeology and Biological Anthropology
ANTH325 - Anthropology of South America,ANTH,325,Anthropology of South America
ANTH329 - Anthropology of Southeast Asia,ANTH,329,Anthropology of Southeast Asia
ANTH331 - Anthropology of Indigenous Health,ANTH,331,Anthropology of Indigenous Health
ANTH333 - Indigenous Visions on Sustainability,ANTH,333,Indigenous Visions on Sustainability
ANTH336 - Contemporary Indigenous Issues in Canada,ANTH,336,Contemporary Indigenous Issues in Canada
ANTH340 - Archaeology of British Columbia,ANTH,340,Archaeology of British Columbia
ANTH341 - Paleolithic Archaeology,ANTH,341,Paleolithic Archaeology
ANTH343 - Archaeological Field Techniques,ANTH,343,Archaeological Field Techniques
ANTH344 - Regional Topics in Archaeology,ANTH,344,Regional Topics in Archaeology
ANTH346 - Archaeology of Holocene Africa,ANTH,346,Archaeology of Holocene Africa
ANTH347 - The Pleistocene Archaeology of Africa,ANTH,347,The Pleistocene Archaeology of Africa
ANTH348 - Peopling of New Territories,ANTH,348,Peopling of New Territories
ANTH349 - Paleolithic Art,ANTH,349,Paleolithic Art
ANTH350 - Primate Behaviour and Conservation,ANTH,350,Primate Behaviour and Conservation
ANTH351 - Human Origins,ANTH,351,Human Origins
ANTH352 - Human Osteology,ANTH,352,Human Osteology
ANTH357 - Evolutionary Biology of Contemporary Health,ANTH,357,Evolutionary Biology of Contemporary Health
ANTH358 - Biology of Human Skeletal Variability,ANTH,358,Biology of Human Skeletal Variability
ANTH360 - Zooarchaeology,ANTH,360,Zooarchaeology
ANTH361 - Archaeology of Medieval Europe,ANTH,361,Archaeology of Medieval Europe
ANTH362 - Archaeology of Children,ANTH,362,Archaeology of Children
ANTH365 - Colonialism and Daily Life,ANTH,365,Colonialism and Daily Life
ANTH366 - Anthropology of Reproduction,ANTH,366,Anthropology of Reproduction
ANTH367 - Heritage and Historical Archaeology Field Course,ANTH,367,Heritage and Historical Archaeology Field Course
ANTH370 - Indigenous Languages and Cultures,ANTH,370,Indigenous Languages and Cultures
ANTH371 - Anthropology of Mexico,ANTH,371,Anthropology of Mexico
ANTH372 - Economic Underworlds and Globalization,ANTH,372,Economic Underworlds and Globalization
ANTH373 - Museums and Anthropology,ANTH,373,Museums and Anthropology
ANTH380 - Directed Experiential Learning in Anthropology,ANTH,380,Directed Experiential Learning in Anthropology
ANTH381 - Cultural Anthropology Field School Methods,ANTH,381,Cultural Anthropology Field School Methods
ANTH382 - Cultural Anthropology Field School Regional Topics,ANTH,382,Cultural Anthropology Field School Regional Topics
ANTH383 - Forensic Anthropology Methods,ANTH,383,Forensic Anthropology Methods
ANTH384 - Forensic Anthropology Field Course,ANTH,384,Forensic Anthropology Field Course
ANTH391 - Selected Problems in Anthropology: Area Studies,ANTH,391,Selected Problems in Anthropology: Area Studies
ANTH392 - Selected Problems in Anthropology: Archaeology,ANTH,392,Selected Problems in Anthropology: Archaeology
ANTH393 - Selected Problems in Anthropology: Cultural Anthropology,ANTH,393,Selected Problems in Anthropology: Cultural Anthropology
ANTH394 - Selected Problems in Anthropology: Biological Anthropology,ANTH,394,Selected Problems in Anthropology: Biological Anthropology
ANTH395 - Selected Problems in Anthropology: Method and Theory,ANTH,395,Selected Problems in Anthropology: Method and Theory
ANTH396 - Selected Problems in Anthropology: Linguistic Anthropology,ANTH,396,Selected Problems in Anthropology: Linguistic Anthropology
