term,subject,course_name,course_number,crn,section,frequency,time,days,location,date_range,schedule_type,instructor,instructional_method,units,additional_information
202409,ATWP,Academic Reading and Writing,135,10207,A01,Every Week,8:30 am - 9:50 am,MTh,Clearihue Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Randall J  Lawrence (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10208,A02,Every Week,8:30 am - 9:20 am,TWF,Clearihue Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brian John  Day (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10209,A03,Every Week,10:00 am - 11:20 am,MTh,Clearihue Building A216,"Sep 04, 2024 - Dec 04, 2024",Lecture,Tim   Personn (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10210,A04,Every Week,9:30 am - 10:20 am,TWF,Cornett Building A229,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brock Cameron  MacLeod (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10211,A05,Every Week,11:30 am - 12:50 pm,MTh,Clearihue Building A225,"Sep 04, 2024 - Dec 04, 2024",Lecture,Tim   Personn (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10212,A06,Every Week,11:30 am - 12:50 pm,MTh,Clearihue Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Alan David  Orr (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10213,A07,Every Week,1:00 pm - 2:20 pm,MTh,Clearihue Building A216,"Sep 04, 2024 - Dec 04, 2024",Lecture,Michael David  Lukas (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10214,A08,Every Week,11:30 am - 12:20 pm,TWF,MacLaurin Building D016,"Sep 04, 2024 - Dec 04, 2024",Lecture,Jonathan Steven  Nash (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10215,A09,Every Week,12:30 pm - 1:20 pm,TWF,Clearihue Building A225,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brian John  Day (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10216,A10,Every Week,10:00 am - 11:20 am,MTh,Clearihue Building A208,"Sep 04, 2024 - Dec 04, 2024",Lecture,Alan David  Orr (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10217,A11,Every Week,9:30 am - 10:20 am,TWF,Cornett Building B111,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brian John  Day (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10218,A12,Every Week,11:30 am - 12:50 pm,MTh,Clearihue Building A216,"Sep 04, 2024 - Dec 04, 2024",Lecture,Michael David  Lukas (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10219,A13,Every Week,1:00 pm - 2:20 pm,MTh,First Peoples House 160,"Sep 04, 2024 - Dec 04, 2024",Lecture,Jason   Collins (P),Face-to-face Instructional Method,1.500,"This course will satisfy the Academic Writing Requirement (AWR). 
Registration for this section is reserved for self-Identified Indigenous students in order to build a cohort of support. To register, please send an email to tfirc@uvic.ca. In this email, please include your student number, state your interest in registering for the course, and confirm your Indigenous self-identification (no documentation is required)."
202409,ATWP,Academic Reading and Writing,135,10220,A14,Every Week,8:30 am - 9:20 am,TWF,Cornett Building A128,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brock Cameron  MacLeod (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10221,A15,Every Week,8:30 am - 9:20 am,TWF,Cornett Building A128,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brock Cameron  MacLeod (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10222,A16,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Eric P  Henderson (P),Fully Online Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202409,ATWP,Academic Reading and Writing,135,10223,A17,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Eric P  Henderson (P),Fully Online Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202409,ATWP,Academic Reading and Writing,135,10224,A18,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Cynthia   Spada (P),Fully Online Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202409,ATWP,Academic Reading and Writing,135,10225,A19,Every Week,10:30 am - 11:20 am,TWF,Clearihue Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Jonathan Steven  Nash (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10228,A22,Every Week,10:00 am - 11:20 am,MTh,Clearihue Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Kastle Michael  Van Der Meer (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10230,A24,Every Week,9:30 am - 10:20 am,TWF,Elliott Building 060,"Sep 04, 2024 - Dec 04, 2024",Lecture,Kastle Michael  Van Der Meer (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10231,A25,Every Week,11:30 am - 12:50 pm,MTh,Cornett Building A128,"Sep 04, 2024 - Dec 04, 2024",Lecture,Thea M  Todd (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10232,A26,Every Week,10:30 am - 11:20 am,TWF,Cornett Building A128,"Sep 04, 2024 - Dec 04, 2024",Lecture,Brock Cameron  MacLeod (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10233,A27,Every Week,11:30 am - 12:20 pm,TWF,Elliott Building 160,"Sep 04, 2024 - Dec 04, 2024",Lecture,Gillian Lisa  Saunders (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10234,A28,Every Week,10:30 am - 11:20 am,TWF,McKinnon Building 155,"Sep 04, 2024 - Dec 04, 2024",Lecture,Paul Paton  Emme (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10237,A31,Every Week,9:30 am - 10:20 am,TWF,Elliott Building 160,"Sep 04, 2024 - Dec 04, 2024",Lecture,Richard William  Pickard (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202409,ATWP,Academic Reading and Writing,135,10238,A32,Every Week,10:30 am - 11:20 am,TWF,MacLaurin Building D110,"Sep 04, 2024 - Dec 04, 2024",Lecture,Sean Gordon  Henry (P),Face-to-face Instructional Method,1.500,"Please note that 12 seats in this section are held in reserve for enrolment management purposes. Remaining seats will open for waitlisted students and then for general registration no later than 1 August, 2024. This course will satisfy the Academic Writing Requirement (AWR)."
202409,ATWP,Academic Reading and Writing,135,10239,A33,Every Week,12:30 pm - 1:20 pm,TWF,Cornett Building A128,"Sep 04, 2024 - Dec 04, 2024",Lecture,Kevin Arthur  Cryderman (P),Face-to-face Instructional Method,1.500,This course will satisfy the Academic Writing Requirement (AWR).
