PID,Course ID,Subject Code,Title,Description,Credits,Prerequisites,Corequisites,Recommendations,Notes
SJ822w6XV,ADMN200,ADMN,International Community Development Through Capacity Building,"Students examine the role they can play to improve their communities in Canada and abroad. Topics include international community development issues and how economic disparities are threatening communities across the globe, including threats to the ecology, health, education, governance, peace and personal rights and freedoms. Examines how individuals, non-profit organizations, governments and social movements can build capacity for change in Canada and in other countries.",1.5,,,,
HJJ9AEdDK,ADMN201,ADMN,Social-Ecological Justice and Action for Planetary Health,"Foundational understandings of Planetary Health and the climate crisis, drawing on Indigenous and western knowledge systems. Examines current governance structures that help and hinder our abilities to achieve local-to-global social-ecological justice. Topics include historiography of planetary health, socio-political power dynamics, relationality to the land, colonial violence, Indigenous resistance and resurgence, as well as pathways, policy solutions and change-making action for Planetary Health.",1.5,,,,
r1F2hDT7E,ADMN311,ADMN,Introduction to Public Administration,"An exploration of the external factors affecting contemporary public sector management in Canada, the changing structural and value context within which public servants work, the key processes in which they are engaged and how those processes are changing. Focus is primarily on the federal and provincial governments. Discusses municipal administration and Indigenous governance.",1.5,,,,"Credit will be granted for only one of ADMN 311, HSD 404, POLI 350."
Bk52hwp74,ADMN316,ADMN,Public Sector Communications,"Contemporary communications theory and application with focus on the communication tools in the public and non-profit sectors. Topics include: developing technically and strategically sound written, verbal and interpersonal communication skills for internal and external audiences; basic media relations; creating online/electronic content; synthesizing information for briefing notes, proposals and news releases; and how to engage elected officials and executive, community and stakeholders using effective and inclusive communication processes.",1.5,,,,"Credit will be granted for only one of ADMN 316, ENGL 302, ENSH 304."
Hkc3nP6XV,ADMN314,ADMN,Public Sector Research and Analysis,"An introduction to qualitative and quantitative research methods in public and non-profit sector settings. Critical research methodologies are used to develop students’ own research project proposals. Topics include: research design; sampling and data analysis, ethnography, content analysis, interviews, mixed methods research, research ethics, Indigenous Knowledge and data governance and public engagement methods.",1.5,,,,
HJKh3w6mE,ADMN312,ADMN,Leading and Managing in Public and Non-Profit Sectors,"An examination of the skills of an effective manager in public and non-profit sector organizations and the interplay between management and key organizational processes such as planning, organizing, implementing and evaluating policies, programs and services. Management topics include managerial work, interpersonal and leadership skills, power and influence, conflict resolution, formal and informal communications, motivation and teamwork. A project on managing organizational change is used as a way to connect manager behaviours and organizational processes.",1.5,,,,"Credit will be granted for only one of ADMN 312, ADMN 406."
S1RhQP2fP,ADMN330,ADMN,Indigenous Governance in Canada,"Provides foundational knowledge on concepts, themes and topics needed to understand and appreciate Indigenous governance. Covers historical and contemporary challenges facing Indigenous peoples, including the Indian Act and its impact on Indigenous governance. Topics are organized by eras beginning with pre-contact Indigenous governance systems and European colonization of Indigenous governance, then proceeding to Indigenous resistance and revival of the inherent right, nation building and ways Indigenous Nations are implementing self-government along with its challenges and successes.",1.5,,,,"Credit will be granted for only one of ADMN 330, ADMN 470 (if taken in same topic), ADMN 548 (if taken in same topic), ICDG 301."
ByXxKvhMv,ADMN331,ADMN,Governance for Planetary Health,"Provides students a foundational understanding of Planetary Health from an interdisciplinary lens. Focuses on transformative governance strategies embracing the environmental, political, economic, social and cultural dimensions to achieve high standards of health, well-being, equity and ecological prosperity. Explores pathways and policy solutions at the local, regional, national and global levels for reconciling natural and human systems.",1.5,,,,
Bkxdh3vp7N,ADMN310,ADMN,Public Sector Economics,"An introduction to public sector economic principles and theories. Topics include market failures such as: public goods and externalities; taxation and public spending; effectiveness, efficiency, equity and political feasibility criteria for policy evaluation and review processes. Applied public sector economics and Indigenous economics are discussed.",1.5,,,,"Credit will be granted for only one of ADMN 310, ADMN 403, ECON 100, ECON 103, ECON 103C, ECON 104, ECON 180, ECON 201, ENGR 280 (if taken prior to May 2012)."
ByS23Pp7E,ACAN225,ACAN,Introduction to the Arts of Canada,"An interdisciplinary examination of Canada's cultural identity and of current issues facing the arts in both French and English speaking Canada. Topics to be considered include aboriginal arts, theatre, history in art, visual and literary arts, music, multiculturalism, broadcasting and cultural policies.",3.0,,,,"Credit will be granted for only one of ACAN 225, FA 225."
