term,subject,course_name,course_number,crn,section,frequency,time,days,location,date_range,schedule_type,instructor,instructional_method,units,additional_information
202501,ER,Principles and Concepts of Ecological Restoration,311,21440,ER 311,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Richard J  Hebda (P),Fully Online,1.500,Permission of the department is required for registration in this section. Contact ecorestoration@uvic.ca.
202501,SLST,Beginning Russian II,102,22866,SLST 102,Every Week,10:30 am - 11:20 am,TWF,Clearihue Building A312,"Jan 06, 2025 - Apr 04, 2025",Lecture,Megan A  Swift (P),Face-to-face,1.500,
202409,ECON,International Monetary Theory and Policy,405B,11132,ECON 405B,Every Week,6:00 pm - 7:20 pm,MR,David Strong Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Omar   Saleh (P),Face-to-face,1.500,
202409,ECON,Monetary Economics,406,11133,ECON 406,Every Week,4:30 pm - 5:50 pm,MR,David Strong Building C108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Alok   Kumar (P),Face-to-face,1.500,
202501,ER,Biodiversity and Conservation Biology,313,21441,ER 313,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Diana   Bertuol Garcia (P),Fully Online,1.500,Permission of the department is required for registration in this section. Contact ecorestoration@uvic.ca.
202501,ER,"Ethical, Legal and Policy Aspects of Environmental Restoration",314,21442,ER 314,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Andrew Mark  Elves (P),Fully Online,1.500,Permission of the department is required for registration in this section. Contact ecorestoration@uvic.ca.
202501,SLST,Intensive Beginning Russian,110,22867,SLST 110,Every Week,9:30 am - 11:20 am,TWF,Clearihue Building C115,"Jan 06, 2025 - Apr 04, 2025",Lecture,Ioulia   Rochtchina (P),Face-to-face,3.000,
202409,ECON,Economics of Firm Strategy,413,11134,ECON 413,Every Week,9:30 am - 10:20 am,TWF,David Strong Building C118,"Sep 04, 2024 - Dec 04, 2024",Lecture,Pascal   Courty (P),Face-to-face,1.500,
202501,SLST,Intermediate Russian II,202,22868,SLST 202,Every Week,1:30 pm - 2:20 pm,TWF,Clearihue Building C115,"Jan 06, 2025 - Apr 04, 2025",Lecture,Ioulia   Rochtchina (P),Face-to-face,1.500,
202409,PHYS,Classical Mechanics I,321A,12739,PHYS 321A,Every Week,10:30 am - 11:20 am,TWF,Engineering Comp Science Bldg 108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Heather Lynn  Russell (P),Face-to-face,1.500,
