term,subject,course_name,course_number,crn,section,frequency,time,days,location,date_range,schedule_type,instructor,instructional_method,units,additional_information
202501,ATWP,Academic Reading and Writing Support and Development,110,23470,A01,Every Week,9:30 am - 10:20 am,TWF,MacLaurin Building D101,"Jan 06, 2025 - Apr 04, 2025",Lecture,Andrew David  Murray (P),Face-to-face,1.500,"This is the second half of a course that runs Sep-Apr. You must be registered in the same section in First Term (Sep-Dec) before you can register in the second term section. For example, register in ATWP110 A01 in First Term and ATWP110 A01 in Second Term."
202501,ATWP,Academic Reading and Writing Support and Development,110,23471,A02,Every Week,11:30 am - 12:20 pm,TWF,Clearihue Building C108,"Jan 06, 2025 - Apr 04, 2025",Lecture,Andrew David  Murray (P),Face-to-face,1.500,"This is the second half of a course that runs Sep-Apr. You must be registered in the same section in First Term (Sep-Dec) before you can register in the second term section. For example, register in ATWP110 A01 in First Term and ATWP110 A01 in Second Term."
202409,HLTH,Social Determinants of Health,300,11845,A01,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Leo   Rutherford (P),Fully Online,1.500,Offered fully online and asynchronous (may offer optional synchronous sessions).
202501,HSTR,Approaches to History,496,23493,A01,Every Week,2:30 pm - 5:20 pm,R,Clearihue Building B215,"Jan 06, 2025 - Apr 04, 2025",Lecture,Jillian   Walshaw (P),Face-to-face,1.500,"Restricted to Honours students.  This is the first half of a course that runs Sep-Apr. You must register in the same section in Second Term (Jan-Apr) to complete your registration. For example, register in PHIL100 A01 in First Term and PHIL100 A01 in Second Term."
202409,HLTH,Introduction to Indigenous Health in Canada,253,11844,A01,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Monique Danielle  Auger (P),Fully Online,1.500,"Offered fully online; primarily asynchronous, with 2 synchronous events."
202501,ATWP,The Rhetoric of Health and Medicine,305,20229,A01,Every Week,1:00 pm - 2:20 pm,MR,Elliott Building 160,"Jan 06, 2025 - Apr 04, 2025",Lecture,Loren Danae  Gaudet (P),Face-to-face,1.500,
202409,HLTH,Health Research Literacy,350,11847,A01,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Robert   Savage (P),Fully Online,1.500,Offered fully online and asynchronous (may offer optional synchronous sessions).
202501,HSTR,Honours Thesis,499,23494,A01,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,TBA,Face-to-face,1.500,"Restricted to Honours students. This is the second half of a course that runs Sep-Apr. You must be registered in the same section in First Term (Sep-Dec) before you can register in the second term section. For example, register in PHIL100 A01 in First Term and PHIL100 A01 in Second Term."
202501,ATWP,Genres of Business Communication,250,20228,A01,Every Week,1:00 pm - 2:20 pm,MR,Elliott Building 061,"Jan 06, 2025 - Apr 04, 2025",Lecture,Jason   Collins (P),Face-to-face,1.500,
202409,HLTH,Health Program Planning and Project Management,320,11846,A01,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Charlotte   Lombardo (P),Fully Online,1.500,Offered fully online and asynchronous (may offer optional synchronous sessions).
202501,ASL,American Sign Language II,100B,20154,A01,Every Week,11:30 am - 1:20 pm,MW,Clearihue Building A313,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nigel   Howard (P),Face-to-face,1.500,
202501,ASL,American Sign Language II,100B,20155,A02,Every Week,2:30 pm - 4:20 pm,MW,Clearihue Building A320,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim James  Lane (P),Face-to-face,1.500,
202501,ASL,American Sign Language I,100A,20150,A01,Every Week,11:30 am - 1:20 pm,MW,Clearihue Building A320,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim James  Lane (P),Face-to-face,1.500,
202501,ASL,American Sign Language I,100A,20151,A02,Every Week,2:30 pm - 4:20 pm,MW,Clearihue Building A313,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nigel   Howard (P),Face-to-face,1.500,
202501,ASL,American Sign Language I,100A,20152,A03,Every Week,9:30 am - 11:20 am,MW,Clearihue Building A320,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim James  Lane (P),Face-to-face,1.500,
202501,ASL,American Sign Language I,100A,20153,A04,Every Week,9:30 am - 11:20 am,MW,Clearihue Building A313,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nigel   Howard (P),Face-to-face,1.500,
202501,ATWP,Academic Reading and Writing,135,20199,A01,Every Week,10:00 am - 11:20 am,MR,Engineering Comp Science Bldg 130,"Jan 06, 2025 - Apr 04, 2025",Lecture,Loren Danae  Gaudet (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20200,A02,Every Week,8:30 am - 9:20 am,TWF,Clearihue Building A216,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brian John  Day (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20201,A03,Every Week,9:30 am - 10:20 am,TWF,Cornett Building B129,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brock Cameron  MacLeod (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20202,A04,Every Week,11:30 am - 12:50 pm,MR,David Strong Building C126,"Jan 06, 2025 - Apr 04, 2025",Lecture,Loren Danae  Gaudet (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20203,A05,Every Week,10:30 am - 11:20 am,TWF,McKinnon Building 155,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brian John  Day (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20204,A06,Every Week,1:00 pm - 2:20 pm,MR,Cornett Building B145,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim   Personn (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20205,A07,Every Week,11:30 am - 12:20 pm,TWF,Clearihue Building A225,"Jan 06, 2025 - Apr 04, 2025",Lecture,Richard William  Pickard (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20206,A08,Every Week,12:30 pm - 1:20 pm,TWF,Clearihue Building C108,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brian John  Day (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20207,A09,Every Week,2:30 pm - 3:50 pm,MR,MacLaurin Building D101,"Jan 06, 2025 - Apr 04, 2025",Lecture,Randall J  Lawrence (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20208,A10,Every Week,10:00 am - 11:20 am,MR,Hickman Building 116,"Jan 06, 2025 - Apr 04, 2025",Lecture,Sean Gordon  Henry (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20209,A11,Every Week,9:30 am - 10:20 am,TWF,Cornett Building A125,"Jan 06, 2025 - Apr 04, 2025",Lecture,Michael David  Lukas (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20210,A12,Every Week,11:30 am - 12:50 pm,MR,MacLaurin Building D101,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim   Personn (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20211,A13,Every Week,11:30 am - 12:50 pm,MR,MacLaurin Building D101,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim   Personn (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20212,A14,Every Week,12:30 pm - 1:20 pm,TWF,MacLaurin Building D101,"Jan 06, 2025 - Apr 04, 2025",Lecture,Michael David  Lukas (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20213,A15,Every Week,10:00 am - 11:20 am,MR,Clearihue Building C109,"Jan 06, 2025 - Apr 04, 2025",Lecture,Randall J  Lawrence (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20214,A16,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Eric P  Henderson (P),Fully Online,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202501,ATWP,Academic Reading and Writing,135,20215,A17,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Eric P  Henderson (P),Fully Online,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202501,ATWP,Academic Reading and Writing,135,20216,A18,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Eric P  Henderson (P),Fully Online,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202501,ATWP,Academic Reading and Writing,135,20217,A19,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Cynthia   Spada (P),Fully Online,1.500,This course will satisfy the Academic Writing Requirement (AWR). This section is fully online and asynchronous.
202501,ATWP,Academic Reading and Writing,135,20218,A20,Every Week,10:00 am - 11:20 am,MR,Clearihue Building C108,"Jan 06, 2025 - Apr 04, 2025",Lecture,Kevin Arthur  Cryderman (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20220,A22,Every Week,9:30 am - 10:20 am,TWF,Cornett Building A128,"Jan 06, 2025 - Apr 04, 2025",Lecture,Tim   Personn (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20221,A23,Every Week,10:30 am - 11:20 am,TWF,Clearihue Building A329,"Jan 06, 2025 - Apr 04, 2025",Lecture,Kastle Michael  Van Der Meer (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20222,A24,Every Week,11:30 am - 12:50 pm,MR,Clearihue Building C108,"Jan 06, 2025 - Apr 04, 2025",Lecture,Katherine Mary  Skipsey (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20225,A27,Every Week,9:30 am - 10:20 am,TWF,Hickman Building 110,"Jan 06, 2025 - Apr 04, 2025",Lecture,Paul Paton  Emme (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
202501,ATWP,Academic Reading and Writing,135,20226,A28,Every Week,10:30 am - 11:20 am,TWF,Elliott Building 160,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brock Cameron  MacLeod (P),Face-to-face,1.500,This course will satisfy the Academic Writing Requirement (AWR).
