term,crn,Seats_Capacity,Seats_Actual,Seats_Remaining,Waitlist_Capacity,Waitlist_Actual,Waitlist_Remaining
202501,22140,5,1,4,5,0,5
202501,23471,27,26,1,100,0,100
202501,22927,80,80,0,100,9,91
202409,13101,60,60,0,100,0,100
202409,13612,27,26,1,100,0,100
202501,23918,35,0,35,0,0,0
202409,12787,200,184,16,100,0,100
202409,10727,30,26,4,0,0,0
202409,10304,24,24,0,4,0,4
202409,12203,22,19,3,20,0,20
202501,23096,75,28,47,100,0,100
202409,13255,45,37,8,100,0,100
202501,21157,32,32,0,30,0,30
202409,13297,45,30,15,100,0,100
202409,12146,15,15,0,20,0,20
202409,10762,21,20,1,0,0,0
202409,10797,17,16,1,0,0,0
202409,13588,18,17,1,100,0,100
202501,22773,25,25,0,100,25,75
202409,10500,150,92,58,100,0,100
202409,13848,13,6,7,0,0,0
202409,10661,56,44,12,10,0,10
202409,12584,35,26,9,30,0,30
202501,20587,100,56,44,80,0,80
202501,21225,33,33,0,100,7,93
202409,12394,3,0,3,3,0,3
202409,10412,15,10,5,10,0,10
202409,11513,43,30,13,50,0,50
202501,21205,40,40,0,5,5,0
202409,12860,20,26,-6,100,0,100
202409,12937,100,100,0,100,0,100
202409,12675,24,23,1,0,0,0
202501,20819,15,15,0,20,0,20
202409,10688,60,47,13,10,0,10
202501,21557,22,15,7,0,0,0
202409,12279,5,0,5,5,0,5
202501,20199,32,32,0,100,22,78
202501,22956,38,38,0,50,26,24
202501,21359,18,18,0,5,4,1
202501,21914,40,40,0,40,13,27
202409,11919,40,40,0,15,0,15
202501,21628,20,9,11,20,0,20
202409,13913,90,92,-2,100,0,100
202501,20614,64,67,-3,10,0,10
202501,22658,20,20,0,2,0,2
202501,20455,30,29,1,4,2,2
202501,20165,18,18,0,0,0,0
202501,21336,30,7,23,100,0,100
202501,20314,20,20,0,2,2,0
202409,12384,5,3,2,5,0,5
202501,21242,23,23,0,23,15,8
202409,11781,25,15,10,100,0,100
202409,11693,22,19,3,0,0,0
202501,23511,6,1,5,6,0,6
202409,12599,60,21,39,100,0,100
202409,12840,20,11,9,0,0,0
202409,12819,20,13,7,2,0,2
202501,20181,13,13,0,0,0,0
202409,12169,90,90,0,20,0,20
202501,22149,30,10,20,100,0,100
202409,12095,50,50,0,25,0,25
202409,11985,20,10,10,100,0,100
202409,14008,54,51,3,100,0,100
202409,11301,3,2,1,3,0,3
202501,21200,40,40,0,5,1,4
202501,22734,35,35,0,0,0,0
202501,20691,30,29,1,0,0,0
202501,22602,12,3,9,100,0,100
202409,13260,75,32,43,100,0,100
202409,12721,24,21,3,0,0,0
202409,10113,22,22,0,100,0,100
202501,20539,18,17,1,3,0,3
202409,11987,101,87,14,100,0,100
202409,10839,13,9,4,0,0,0
202409,13267,16,14,2,100,0,100
202409,14052,2,2,0,0,0,0
202409,11465,198,202,-4,100,0,100
202501,21947,60,48,12,35,0,35
202409,10984,16,16,0,3,0,3
202409,10356,91,61,30,100,0,100
202409,11887,50,36,14,100,0,100
202501,22706,250,127,123,100,0,100
202409,10341,22,21,1,2,0,2
202501,22770,100,99,1,100,47,53
202501,21155,32,32,0,30,0,30
202501,22006,24,12,12,0,0,0
202501,20758,80,80,0,40,30,10
202501,23959,60,60,0,100,8,92
202409,12725,24,22,2,0,0,0
202501,20109,12,11,1,100,0,100
202501,22141,5,3,2,5,0,5
202409,12048,200,90,110,100,0,100
202409,13943,25,10,15,0,0,0
202409,11586,40,40,0,100,0,100
202409,13764,50,38,12,100,0,100
202409,12982,23,19,4,20,0,20
202409,12416,5,0,5,5,0,5
202409,10160,35,35,0,100,0,100
202501,22965,22,22,0,50,15,35
202501,22183,3,1,2,3,0,3
202409,11705,22,22,0,0,0,0
202501,23030,40,12,28,100,0,100
202409,11706,10,9,1,25,0,25
202409,11501,16,16,0,5,0,5
202501,20630,32,32,0,0,0,0
202409,13590,18,15,3,100,0,100
202409,13806,25,15,10,0,0,0
202409,12180,44,23,21,10,0,10
202409,13829,24,9,15,0,0,0
202501,21283,23,7,16,4,0,4
202409,11731,20,14,6,100,0,100
202501,22747,100,98,2,100,44,56
202409,12742,9,8,1,0,0,0
202409,12423,5,2,3,5,0,5
202409,13980,10,4,6,100,0,100
202409,13163,38,27,11,50,0,50
202501,20984,60,31,29,0,0,0
202501,22252,20,10,10,100,0,100
202409,12709,24,21,3,0,0,0
202409,12199,50,18,32,0,0,0
202409,12808,20,12,8,2,0,2
202501,21621,22,22,0,0,0,0
202409,10080,250,113,137,100,0,100
202409,10902,45,25,20,100,0,100
202501,21440,30,0,30,100,0,100
202501,22145,5,0,5,5,0,5
202501,23121,250,248,2,100,58,42
202501,23778,10,0,10,100,0,100
202409,11505,16,17,-1,5,0,5
202501,20722,15,15,0,0,0,0
202501,20434,92,89,3,0,0,0
202501,20589,100,73,27,80,0,80
202501,21248,100,100,0,100,14,86
202501,21795,30,24,6,30,0,30
202501,21207,32,32,0,30,1,29
202501,21852,20,8,12,100,0,100
202501,20968,35,23,12,0,0,0
202501,22524,24,18,6,0,0,0
202409,11646,5,5,0,0,0,0
202409,10805,55,52,3,0,0,0
202501,21888,200,199,1,200,3,197
202501,20894,20,6,14,3,0,3
202501,20705,20,20,0,0,0,0
202501,22595,20,15,5,100,0,100
202409,11812,30,27,3,5,0,5
202409,10729,30,26,4,0,0,0
202409,11771,50,37,13,100,0,100
202409,13937,25,16,9,0,0,0
202409,10332,22,22,0,2,0,2
202501,22190,50,34,16,100,0,100
202501,21721,70,55,15,20,0,20
202409,13903,10,6,4,100,0,100
202409,10140,22,21,1,100,0,100
202501,20041,120,120,0,50,34,16
202501,21303,22,13,9,4,0,4
202501,21946,60,60,0,35,4,31
202501,23547,5,1,4,5,0,5
202501,21105,75,64,11,50,0,50
202409,14117,15,0,15,0,0,0
202409,13156,22,20,2,50,0,50
202409,13656,25,12,13,100,0,100
202409,11924,20,23,-3,20,0,20
202501,23953,3,1,2,3,0,3
202501,21003,75,43,32,100,0,100
202501,23730,10,5,5,100,0,100
202501,20262,358,358,0,100,47,53
202409,10717,33,29,4,0,0,0
202501,21555,22,19,3,0,0,0
202409,10367,110,107,3,100,0,100
202501,21195,210,204,6,15,0,15
202409,11519,35,26,9,50,0,50
202501,23728,10,6,4,100,0,100
202501,22177,5,0,5,5,0,5
202409,10331,170,111,59,100,0,100
202409,12036,46,43,3,20,0,20
202409,10393,299,201,98,100,0,100
202501,20833,60,60,0,100,2,98
